amc_name,aaum_excl_fof,aaum_fof_domestic,period_label,fy_label,quarter_id,total_aaum,market_share_pct,qoq_growth_pct,yoy_growth_pct,scale_tier,peer_rank,peer_rank_change,peer_quartile,market_share_change_bps,top5_concentration_pct,top10_concentration_pct
Angel One Mutual Fund,0.0,0.0,April - June 2024,April 2024 - March 2025,2024-Q1,0.0,0.0,,,Emerging/Smaller,22,,4,,56.112502821695514,77.67381388348251
Angel One Mutual Fund,0.0,0.0,July - September 2024,April 2024 - March 2025,2024-Q2,0.0,0.0,,,Emerging/Smaller,22,0.0,4,0.0,56.14476667766632,77.2928156151036
Angel One Mutual Fund,0.0,0.0,October - December 2024,April 2024 - March 2025,2024-Q3,0.0,0.0,,,Emerging/Smaller,22,0.0,4,0.0,55.895949189298236,76.84376973787397
Angel One Mutual Fund,1884.89,0.0,January - March 2025,April 2024 - March 2025,2024-Q4,1884.89,0.0002757244899628344,inf,,Emerging/Smaller,23,-1.0,4,0.027572448996283437,55.8900234541502,76.72681350011375
Angel One Mutual Fund,19700.33,0.0,April - June 2025,April 2025 - March 2026,2025-Q1,19700.33,0.002691359722276564,945.1713362583494,inf,Emerging/Smaller,23,0.0,4,0.24156352323137295,56.15527762155252,76.71414862240465
Angel One Mutual Fund,36059.97,373.16,July - September 2025,April 2025 - March 2026,2025-Q2,36433.130000000005,0.0046431528945159685,84.93664826934373,inf,Emerging/Smaller,24,-1.0,4,0.19517931722394044,55.973360163952876,76.3002474428016
Angel One Mutual Fund,43857.4,2107.28,October - December 2025,April 2025 - March 2026,2025-Q3,45964.68,0.005556483761961886,26.16176540418018,inf,Emerging/Smaller,25,-1.0,4,0.09133308674459176,56.05566905329579,76.16057383422948
Angel One Mutual Fund,41930.73,3257.91,January - March 2026,April 2025 - March 2026,2025-Q4,45188.64,0.0054022513027792846,-1.6883398296257068,2297.4152337802207,Emerging/Smaller,27,-2.0,4,-0.015423245918260147,56.51003534300183,76.33097004073853
Angel One Mutual Fund,56493.54,4290.11,April - June 2026,April 2026 - March 2027,2026-Q1,60783.65,0.007121472334402846,34.51090805122703,208.54127824254718,Emerging/Smaller,26,1.0,4,0.17192210316235612,56.1977348397462,75.76765314278003
Axis Mutual Fund,29196674.8,101028.09,April - June 2024,April 2024 - March 2025,2024-Q1,29297702.89,4.903008867533782,,,Large,8,,4,,56.112502821695514,77.67381388348251
Axis Mutual Fund,31233845.82,104878.28,July - September 2024,April 2024 - March 2025,2024-Q2,31338724.1,4.6735924983498185,6.966488866595233,,Large,8,0.0,4,-22.94163691839639,56.14476667766632,77.2928156151036
Axis Mutual Fund,32609752.89,118064.69,October - December 2024,April 2024 - March 2025,2024-Q3,32727817.580000002,4.708640081611803,4.432514468577242,,Large,8,0.0,4,3.5047583261984094,55.895949189298236,76.84376973787397
Axis Mutual Fund,32150572.84,135521.0,January - March 2025,April 2024 - March 2025,2024-Q4,32286093.84,4.7228574383259545,-1.3496889577811033,,Large,8,0.0,4,1.4217356714151919,55.8900234541502,76.72681350011375
Axis Mutual Fund,33560660.74,179196.02,April - June 2025,April 2025 - March 2026,2025-Q1,33739856.760000005,4.609369057231257,4.502752569587409,15.162123415198604,Large,8,0.0,4,-11.348838109469739,56.15527762155252,76.71414862240465
Axis Mutual Fund,35123788.85,312443.32,July - September 2025,April 2025 - March 2026,2025-Q2,35436232.17,4.516105093657211,5.02780857093359,13.07490393330979,Large,8,0.0,4,-9.326396357404576,55.973360163952876,76.3002474428016
Axis Mutual Fund,36057485.95,517435.56,October - December 2025,April 2025 - March 2026,2025-Q3,36574921.510000005,4.421393936939092,3.213347667825728,11.75484408820151,Large,8,0.0,4,-9.471115671811958,56.05566905329579,76.16057383422948
Axis Mutual Fund,35960124.78,829925.24,January - March 2026,April 2025 - March 2026,2025-Q4,36790050.02,4.3982092767089265,0.5881858418785191,13.950142752852756,Large,8,0.0,4,-2.31846602301653,56.51003534300183,76.33097004073853
Axis Mutual Fund,36903011.92,841496.8,April - June 2026,April 2026 - March 2027,2026-Q1,37744508.72,4.422183837678503,2.594339228897824,11.869202612465358,Large,8,0.0,4,2.397456096957651,56.1977348397462,75.76765314278003
Bajaj Finserv Mutual Fund,1113641.14,0.0,April - June 2024,April 2024 - March 2025,2024-Q1,1113641.14,0.18636930018612902,,,Emerging/Smaller,4,,1,,56.112502821695514,77.67381388348251
Bajaj Finserv Mutual Fund,1559267.47,0.0,July - September 2024,April 2024 - March 2025,2024-Q2,1559267.47,0.23253597458081904,40.01525392641297,,Emerging/Smaller,4,0.0,1,4.616667439469002,56.14476667766632,77.2928156151036
Bajaj Finserv Mutual Fund,1845632.16,0.0,October - December 2024,April 2024 - March 2025,2024-Q3,1845632.16,0.265536115973663,18.365334717077108,,Emerging/Smaller,4,0.0,1,3.3000141392843965,55.895949189298236,76.84376973787397
